Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
43,4/14/2020 10:11,640131172.2,6138.448,-69.03,157.15,757722,85.425,67.68,-99.99,68.91,-99.99,70.14,-99.99,170.93,-9.99,174.03,-9.99,177.14,-9.99,2.86804E+22,9.9,106.052,1.87
44,4/14/2020 10:11,640131172.3,6138.248,-69.04,157.15,755997,85.231,71.32,-99.99,72.55,-99.99,73.78,-99.99,173.05,-9.99,176.03,-9.99,179.02,-9.99,2.98524E+22,9.9,106.049,1.87
45,4/14/2020 10:11,640131172.4,6138.065,-69.04,157.15,754420,85.053,74.79,-99.99,76.02,-99.99,77.25,-99.99,174.8,-9.99,177.67,-9.99,180.55,-9.99,3.09884E+22,9.9,106.047,1.87
46,4/14/2020 10:11,640131172.4,6137.867,-69.04,157.15,752712,84.86,78.68,-99.99,79.91,-99.99,81.14,-99.99,177.01,-9.99,179.78,-9.99,182.54,-9.99,3.21929E+22,9.9,106.044,1.87
47,4/14/2020 10:11,640131172.5,6137.692,-69.04,157.14,751203,84.69,82.24,-99.99,83.47,-99.99,84.7,-99.99,178.53,-9.99,181.2,-9.99,183.87,-9.99,3.33661E+22,9.9,106.041,1.87
48,4/14/2020 10:11,640131172.5,6137.504,-69.05,157.14,749582,84.507,86.22,-99.99,87.45,-99.99,88.68,-99.99,180.25,-9.99,182.83,-9.99,185.4,-9.99,3.46451E+22,9.9,106.038,1.87
49,4/14/2020 10:11,640131172.6,6137.314,-69.05,157.14,747943,84.322,90.39,-99.99,91.62,-99.99,92.85,-99.99,182.24,-9.99,184.72,-9.99,187.2,-9.99,3.59249E+22,9.9,106.036,1.87
50,4/14/2020 10:11,640131172.7,6137.163,-69.05,157.14,746641,84.176,93.83,-99.99,95.06,-99.99,96.29,-99.99,182.89,-9.99,185.29,-9.99,187.68,-9.99,3.71579E+22,9.9,106.033,1.871
51,4/14/2020 10:11,640131172.7,6136.987,-69.06,157.14,745123,84.005,97.97,-99.99,99.2,-99.99,100.43,-99.99,183.68,-9.99,185.98,-9.99,188.29,-9.99,3.86344E+22,9.9,106.03,1.871
52,4/14/2020 10:11,640131172.8,6136.806,-69.06,157.13,743562,83.829,102.41,-99.99,103.64,-99.99,104.87,-99.99,184.85,-9.99,187.07,-9.99,189.29,-9.99,4.01282E+22,9.9,106.027,1.871
53,4/14/2020 10:11,640131172.9,6136.647,-69.06,157.13,742190,83.674,106.45,-99.99,107.68,-99.99,108.91,-99.99,185.48,-9.99,187.63,-9.99,189.77,-9.99,4.15679E+22,9.9,106.025,1.871
